,0,1,2,3,4,5
0,larry,michael,david,steve,cleveland,tom
1,people,problem,solution,fact,agree,point
2,faq,list,info,information,book,food
3,reply,posting,article,problem,writes,wrote
4,cleveland,point,object,line,convex,points
5,stupid,brain,ac,mind,dyer,show
6,hz,sl,writes,cx,wm,pl
7,bob,yeah,folks,guess,wrong,doubt
8,western,university,ohio,serdar,cwru,state
9,hell,kill,die,area,person,death
10,uk,toronto,tv,list,university,canada
11,output,file,entry,max,window,program
12,people,moral,evidence,argument,work,god
13,digex,time,cso,acs,bnr,netcom
14,guess,keith,jon,writes,brian,andrew
15,cost,low,performance,high,rate,sale
16,cs,hand,mine,case,made,tin
17,system,mail,file,anonymous,internet,ftp
18,work,works,bob,end,run,fine
19,att,dept,comp,cc,cs,tin
20,fonts,printer,hp,print,david,oz
21,people,jesus,bible,line,god,christ
22,game,year,serdar,hockey,team,season
23,au,mil,fi,org,eng,list
24,air,game,space,power,nuclear,water
25,bob,baseball,doug,gary,roger,tin
26,question,opinions,high,true,agree,change
27,gun,note,people,police,law,guns
28,host,visgraph,netcom,university,shuldig,college
29,post,university,reply,posting,disclaimer,article
30,opinions,sale,times,year,time,people
31,work,livesey,day,work,place,pub
32,made,time,people,make,hell,things
33,fire,people,sale,children,killed,told
34,keys,public,government,high,encryption,key
35,keyboard,david,problem,mouse,screen,problems
36,god,sera,flame,serdar,dseg,magnus
37,patients,disease,health,medical,host,food
38,david,michael,writes,air,mike,steve
39,bj,tq,db,gun,max,qq
40,circuit,power,ac,voltage,ground,guess
41,system,unix,support,server,line,software
42,wrong,guess,question,happened,times,thing
43,computing,technical,computer,air,science,research
44,sale,price,sell,advance,point,offer
45,york,chicago,food,san,st,cleveland
46,information,states,national,gun,conference,general
47,area,reserve,midway,cross,semi,day
48,company,local,distribution,line,news,group
49,avoid,check,rules,note,article,case
